name,fighter_skill_summary,url,fighter_skill_record,quote,fighter_nickname,fighter_degree,fighter_lives_in,fighter_reach,fighter_weight,fighter_leg_reach,image,fighter_age,fighter_height,fighter_from,fighter_college
Jaime Alvarez,Boxing,http://www.ufc.com/fighter/jamie-Alvarez,7-1-0,,,,"Coconut Creek, Florida United States","69""",125 lb ( 56 kg ),,,30,"5' 8"" ( 172 cm )","Hollywood, Florida United States",
Naoki Inoue,Striking and ground game,http://www.ufc.com/fighter/naoki-Inoue,11-0-0,,,,Toyohashi Japan,"71""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Naoki_Inoue/INOUE_NAOKI_singapore.png,20,"5' 8"" ( 172 cm )",Toyohashi Japan,
CJ Hamilton,Karate,http://www.ufc.com/fighter/CJ-Hamilton,11-5-0,,,,"Hartwell, Georgia United States","68""",125 lb ( 56 kg ),,,31,"5' 7"" ( 170 cm )","Long Island, New York United States",
Kevin  Gray ,Wrestler,http://www.ufc.com/fighter/kevin-Gray,9-4-0,,Pocket Herc,,"Omaha , Nebraska  United States","67""",125 lb ( 56 kg ),,,32,"5' 4"" ( 162 cm )","Topeka , Kansas United States",
Jussier Formiga,Jiu-jitsu,http://www.ufc.com/fighter/jussier-formiga,21-5-0,,,,Natal Brazil,"67""",125 lb ( 56 kg ),"37""",//media.ufc.tv/fighter_images/Jussier_Formiga/FORMIGA_JUSSIER.png,33,"5' 5"" ( 165 cm )",Rio Grande do Norte Brazil,
Deiveson Figueiredo,Wrestling,http://www.ufc.com/fighter/deiveson-Alcantara,14-0-0,,Deus da Guerra,,"Soure, Para Brazil","68""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Deiveson_Figueiredo/FIGUEIREDO_DEIVESON.png,30,"5' 5"" ( 165 cm )","Soure, Para Brazil",
Dooho Choi,Striking,http://www.ufc.com/fighter/dooho-Choi,14-2-0,,The Korean Superboy,,Busan South Korea,"70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Dooho_Choi/CHOI_DOOHO.png,27,"5' 10"" ( 177 cm )",Daegu South Korea,
Iuri Alcantara,"Ground fighting, experience",http://www.ufc.com/fighter/iuri-Alcantara,"35-9-0, 1NC",,Marajo,,"Soure, Para Brazil","71""",135 lb ( 61 kg ),"40""",//media.ufc.tv/fighter_images/Iuri_Alcantara/ALCANTARA_IURI.png,37,"5' 9"" ( 175 cm )",Marajo Brazil,
Hector Sandoval,Well-rounded,http://www.ufc.com/fighter/hector-sandoval,14-4-0,,Kid Alex,,"Sacramento, California United States","64""",125 lb ( 56 kg ),"36""",//media.ufc.tv/fighter_images/Hector_Sandoval/SANDOVAL_HECTOR_NASHVILLE.png,31,"5' 2"" ( 157 cm )","Uruapan, Michoacan Mexico",
Colby Covington,"Wrestling, cardio",http://www.ufc.com/fighter/colby-Covington,13-1-0,,Chaos,Sociology,"Fort Lauderdale, Florida United States","72""",170 lb ( 77 kg ),"41""",//media.ufc.tv/fighter_images/Colby_Covington/COVINGTON_COLBY.png,30,"5' 11"" ( 180 cm )","Clovis, California United States",Oregon State
Ulka Sasaki,"Grappling, submissions",http://www.ufc.com/fighter/yuta-Sasaki,20-5-2,,,,Shizuoka Japan,"71""",125 lb ( 56 kg ),"42""",//media.ufc.tv/fighter_images//Ulka_Sasaki/01SASAKI_ULKA.png,28,"5' 10"" ( 177 cm )",Shizuoka Japan,
Mark Cherico,"Well-rounded, allowing me to adapt and change quickly in a fight.",http://www.ufc.com/fighter/mark-Cherico,11-2-0,,The Pride of Bloomfield,,"Pittsburgh, Pennsylvania United States","69""",145 lb ( 65 kg ),,,31,"5' 7"" ( 170 cm )","Pittsburgh, Pennsylvania United States",
Joby Sanchez,Speed,http://www.ufc.com/fighter/joby-Sanchez,11-3-0,,,,"Alburquerque, New Mexico United States","68""",125 lb ( 56 kg ),"39""",//media.ufc.tv/fighter_images/Joby_Sanchez/SANCHEZ_JOBY.png,26,"5' 6"" ( 167 cm )","Albuquerque, New Mexico United States",
Dominick Cruz,Conditioning and punching power,http://www.ufc.com/fighter/dominick-Cruz,22-2-0,,The Dominator,,"San Diego, California USA","68""",135 lb ( 61 kg ),"37""",//media.ufc.tv/fighter_images/Dominick_Cruz/DominickCruz_Headshot.png,33,"5' 8"" ( 172 cm )","San Diego, California USA",
Roberto Sanchez,Jiu-Jitsu,http://www.ufc.com/fighter/roberto-sanchez,8-1-0,,Littlefury,,"Houston, Texas United States","66""",125 lb ( 56 kg ),"37""",//media.ufc.tv/fighter_images/Roberto_Sanchez/SANCHEZ_ROBERTO.png,32,"5' 6"" ( 167 cm )","Houston, Texas United States",
Wilson Reis,"Jiu-Jitsu, ground and pound, boxing",http://www.ufc.com/fighter/wilson-Reis,22-9-0,,,,"San Diego, California United States","65""",125 lb ( 56 kg ),"36""",//media.ufc.tv/fighter_images/Wilson_Reis/REIS_WILSON.png,33,"5' 4"" ( 162 cm )","Januaria, Minas Gerais Brazil",
Tim Means,"Cardio, technique, huge heart",http://www.ufc.com/fighter/tim-Means,"27-10-1, 1NC",,The Dirty Bird,,"Albuquerque, New Mexico United States","75""",170 lb ( 77 kg ),"43""",//media.ufc.tv/fighter_images/TIm_Means/MEANS_TIM.png,34,"6' 2"" ( 187 cm )","Wilburton, Oklahoma United States",
Court McGee,"Well-rounded, heart, stamina",http://www.ufc.com/fighter/court-McGee,19-6-1,,The Crusher,,"Orem, UT USA","75""",170 lb ( 77 kg ),"41""",//media.ufc.tv/fighter_images/Court_McGee/MCGEE_COURT.png,33,"5' 11"" ( 180 cm )","Ogden, UT USA",
Jake Matthews,"Striking, takedowns, strong cardio, pressure",http://www.ufc.com/fighter/jake-matthews,13-3-0,,The Celtic Kid,,"Epping, Victoria Australia","73""",170 lb ( 77 kg ),"42""",//media.ufc.tv/fighter_images/Jake_Matthews/MATTHEWS_JAKE.png,23,"5' 11"" ( 180 cm )","Melbourne, Victoria Australia",
